FileNamewithExtension
dc.contributor.author
dc.contributor.illustrator
dc.creator.researcher
dc.contributor.editor
dc.date.created
dc.date.copyright
dc.date.accessioned
dc.date.available
dc.identifier.uri	
dc.identifier.isbn
dc.identifier.issn
dc.identifier.bibliographicCitation
dc.description.abstract
dc.description.tableofcontents
dc.format.extent
dc.format.mimetype
dc.language.iso
dc.relation.ispartof
dc.relation.ispartofseries
dc.relation.haspart
dc.source
dc.subject.keyword
dc.subject.ddc
dc.subject.lcc
dc.title
dc.title.alternative
dc.publisher
dc.type
lrmi.educationalAlignment.educationalLevel
lrmi.educationalAlignment.pedagogicObjective
lrmi.educationalAlignment.educationalFramework
lrmi.timeRequired
lrmi.format.difficultylevel
lrmi.learningResourceType
dc.creator
dc.subject.authorkeyword
dc.contributor.advisor
dc.publisher.place
dc.publisher.institution
dc.date.awarded	dc.type.degree
dc.publisher.department
dc.rights.uri
dc.rights.rightsholder
